,Name,Year,Min,Genre,Rate,Votes,Cast
295, Метаморфозы ,2014,102,"Drama, Fantasy",5.3,826, Christophe Honoré 
296, Тереза Ракен ,1953,102,"Crime, Drama, Romance",7.3,1611, Marcel Carné 
297, Приключения Алисы в стране чудес ,1972,101,"Adventure, Family, Fantasy",5.6,1667, William Sterling 
298, The Return of the Native ,1994,101,Drama,6.0,700, Jack Gold 
299, Portnoy's Complaint ,1972,101,Comedy,5.4,442, Ernest Lehman 
300, Монах ,2011,101,"Drama, Mystery, Thriller",5.8,3926, Dominik Moll 
301, Цветы любви ,1997,101,"Comedy, Drama, Romance",6.3,1433, Robert Bierman 
302, La princesse de Clèves ,1961,101,"Drama, History, Romance",6.1,407, Jean Delannoy 
303, Посмертные записки ,2001,101,"Comedy, Drama",6.9,854, André Klotzel 
304, Автокатастрофа ,1996,100,Drama,6.4,59147, David Cronenberg 
305, Мальтийский сокол ,1941,100,"Crime, Film-Noir, Mystery",8.0,157037, John Huston 
306, Невинные ,1961,100,Horror,7.8,30046, Jack Clayton 
307, Копи царя Соломона ,1985,100,"Action, Adventure, Comedy",5.2,13515, J. Lee Thompson 
308," Тарзан, человек-обезьяна ",1932,100,"Action, Adventure, Romance",7.0,7497, W.S. Van Dyke 
309, Пеппи Длинный чулок ,1969,100,"Adventure, Comedy, Drama",7.0,4707, Olle Hellbom 
310, Терпеливая любовь ,2004,100,"Drama, Mystery, Romance",6.3,10527, Roger Michell 
311, Дух тьмы ,1993,100,Drama,5.7,1943, Nicolas Roeg 
312, Рождественская история ,1993,100,"Drama, Family, Fantasy",7.8,14901, Clive Donner 
313, Человек-зверь ,1984,100,"Crime, Drama",7.6,7657, Jean Renoir 
314, Ежик ,2009,100,Drama,7.3,9282, Mona Achache 
315, Hard Times ,1994,100,Drama,6.4,282," Harriet Walter, Bill Paterson, Alan Bates, Beatie Edney"
316, Развод в большом городе ,2012,99,Drama,7.4,27772," Scott McGehee, David Siegel "
317, Итэн Фроум ,1993,99,"Drama, Romance",6.2,2145, John Madden 
318, Пуаро Агаты Кристи ,1989,99,"Crime, Drama, Mystery",7.3,2093, Andrew Grieve 
319, Меньше нуля ,1987,98,"Crime, Drama",6.4,20330, Marek Kanievska 
320, Доктор Джекилл и мистер Хайд ,1931,98,"Horror, Sci-Fi",7.6,13766, Rouben Mamoulian 
321, Широкое Саргассово море ,1993,98,"Drama, Romance, Thriller",5.6,2070, John Duigan 
322, Экспресс в Марракеш ,1998,98,"Adventure, Drama, Romance",6.0,6687, Gillies MacKinnon 
323, Двойная ставка ,1993,98,Drama,7.1,2299, Philip Haas 
324, Отсечённая голова ,1971,98,Comedy,5.3,385, Dick Clement 
325, Der brave Soldat Schwejk ,1960,98,"Comedy, Drama, War",6.7,600, Axel von Ambesser 
326, A Portrait of the Artist as a Young Man ,1977,98,Drama,6.2,216, Joseph Strick 
327, Wir ,1982,98,"Drama, Sci-Fi",6.1,106, Vojtech Jasný 
328, Девственницы-самоубийцы ,1982,97,"Drama, Romance",7.2,153271, Sofia Coppola 
329, Джейн Эйр ,1943,97,"Drama, Romance",7.5,8754, Robert Stevenson 
330, Миссис Дэллоуэй ,1997,97,"Drama, Romance",6.5,3897, Marleen Gorris 
331, Остров сокровищ ,1950,96,"Adventure, Family",6.9,8294, Byron Haskin 
332, I Know Why the Caged Bird Sings ,1979,96,"Biography, Drama",7.0,311, Fielder Cook 
333, Час звезды ,1979,96,Drama,7.3,1281, Suzana Amaral 
334," Это убийство, моя милочка ",1944,95,"Crime, Drama, Film-Noir",7.5,13403, Edward Dmytryk 
335, Водная страна ,1992,95,"Drama, Mystery",6.6,2276, Stephen Gyllenhaal 
336, Анна Каренина ,1935,95,"Drama, Romance",7.0,5392, Clarence Brown 
337, Секретный агент ,1996,95,"Drama, Thriller",5.6,2406, Christopher Hampton 
338, Счастливчик Джим ,1957,95,Comedy,6.0,707, John Boulting 
339, Éducation sentimentale ,1962,95,"Drama, Romance",6.0,145, Alexandre Astruc 
340, Орландо ,1992,94,"Biography, Drama, Fantasy",7.1,16444, Sally Potter 
341," Здравствуй, грусть ",1958,94,"Drama, Romance",6.9,5123, Otto Preminger 
342, Grand Isle ,1991,94,Drama,5.1,187, Mary Lambert 
343, Тристрам Шенди: История петушка и бычка ,2005,94,Comedy,6.7,12810, Michael Winterbottom 
344, Дети вод ,1978,94,"Animation, Adventure, Family",6.0,1361," Lionel Jeffries, Miroslaw Kijowicz "
345," Кролик, беги ",1970,94,Drama,5.5,357, Jack Smight 
346, На игле ,1996,93,Drama,8.1,675669, Danny Boyle 
347, Доводы рассудка ,2007,93,"Action, Drama, Family",7.4,15117, Adrian Shergold 
348, День триффидов ,1963,93,"Horror, Sci-Fi",6.1,8167," Steve Sekely, Freddie Francis "
349, Иван под экстази ,2000,93,Drama,6.4,1375, Bernard Rose 
350, Das Schloß ,1968,93,"Drama, Mystery",6.7,263, Rudolf Noelte 
351, Повелитель мух ,1963,92,"Adventure, Drama, Thriller",6.9,18989, Peter Brook 
352, Удушье ,2008,92,"Comedy, Drama",6.4,32546, Clark Gregg 
353, Мисс Петтигрю ,2008,92,"Comedy, Romance",7.0,28257, Bharat Nalluri 
354, Поезда под пристальным наблюдением ,1966,92,"Comedy, Drama, Romance",7.6,12637, Jirí Menzel 
355, Брайтонская скала ,1948,92,"Crime, Drama",7.3,6178, John Boulting 
356, Silas Marner: The Weaver of Raveloe ,1985,92,Drama,7.3,646, Giles Foster 
357, Мертвые души ,2012,92,Horror,4.5,1865, Colin Theys 
358, Lives of Girls & Women ,1996,92,Drama,6.3,71, Ronald Wilson 
359, Враг ,2013,91,"Drama, Mystery, Thriller",6.9,189323, Denis Villeneuve 
360, Тонкий человек ,1934,91,"Comedy, Mystery",7.9,29363, W.S. Van Dyke 
361, Мертвый дом ,1932,91,"Biography, Drama",6.2,48, Vasili Fyodorov 
362, Жюстина маркиза Де Сада ,1969,90,Drama,5.1,1773, Jesús Franco 
363, Сидр с Роузи ,2015,90,Drama,6.3,772, Philippa Lowthorpe 
364, Робинзон Крузо ,1954,90,"Adventure, Drama, Family",6.7,4051, Luis Buñuel 
365, The Mill on the Floss ,1997,90,Drama,6.1,571, Graham Theakston 
366, Unless ,2016,90,"Drama, Family",5.3,256, Alan Gilsenan 
367, Алая буква ,1973,90,"Drama, History",5.9,804, Wim Wenders 
368, Amerika ,1994,90,"Drama, Mystery",6.1,219, Vladimír Michálek 
369, The Vicar of Wakefield ,1917,90,"Romance, Drama",6.2,43, Ernest C. Warde 
370, Дом о семи фронтонах ,1940,89,"Drama, Thriller",7.0,1161, Joe May 
371, Surfacing ,1981,89,"Adventure, Drama",4.3,139, Claude Jutra 
372, Мать ,1926,89,Drama,7.5,2804, Vsevolod Pudovkin 
373, The Robber Bride ,2007,89,"Drama, Mystery",5.7,375, David Evans 
374, Валландер ,2008,89,"Crime, Drama, Mystery",7.4,940, Hettie Macdonald 
375, Расёмон ,1950,88,"Crime, Drama, Mystery",8.2,166025, Akira Kurosawa 
376, Маленький принц ,1974,88,"Family, Fantasy, Musical",6.4,3631, Stanley Donen 
377, Преступление и наказание ,1935,88,"Crime, Drama",6.9,1979, Josef von Sternberg 
378, Кандид или оптимизм ,1960,88,Comedy,5.8,143, Norbert Carbonnaux 
379, Tropic of Cancer ,1970,87,"Biography, Drama",5.5,592, Joseph Strick 
380, The Lost Language of Cranes ,1991,87,"Drama, Romance",7.2,498, Nigel Finch 
381, The Adventures of Martin Eden ,1942,87,"Action, Adventure, Crime",5.7,143, Sidney Salkow 
382, Старик и море ,1958,86,"Adventure, Drama",6.9,7800," John Sturges, Fred Zinnemann "
383, 39 cтупеней ,1935,86,"Crime, Mystery, Thriller",7.6,56488, Alfred Hitchcock 
384, Дамы Булонского леса ,1945,86,"Drama, Romance",7.2,4353, Robert Bresson 
385, Вoйна миров ,1953,85,"Action, Sci-Fi, Thriller",7.0,35450, Byron Haskin 
386, Нортенгерское аббатство ,2007,84,"Drama, Romance",7.2,15081, Jon Jones 
387, Мизинец Будды ,2015,84,Drama,5.4,160, Tony Pemberton 
388, Бремя страстей человеческих ,1934,83,"Drama, Romance",7.0,7380, John Cromwell 
389, Герой нашего времени - Бэла ,1967,83,Drama,7.2,80, Stanislav Rostotskiy 
390," Прощай, оружие ",1932,80,"Drama, Romance, War",6.4,6032, Frank Borzage 
391, Колодец и маятник ,1961,80,"Drama, Horror, Mystery",7.0,14383, Roger Corman 
392, Собака Баскервилей ,1939,80,"Horror, Mystery, Thriller",7.4,10453, Sidney Lanfield 
393, Короткие интервью с подонками ,2009,80,"Comedy, Drama",5.4,3500, John Krasinski 
394, Шутка ,1969,80,Drama,7.1,1473, Jaromil Jires 
395, Дом Ашеров ,1960,79,"Drama, Horror",6.9,13361, Roger Corman 
396, Деревня проклятых ,1960,77,"Horror, Sci-Fi",7.3,16947, Wolf Rilla 
397, Nada ,1947,76,Drama,6.3,147, Edgar Neville 
398, Дракула ,1931,75,"Drama, Fantasy, Horror",7.4,51526," Tod Browning, Karl Freund "
399, Железная пята олигархии ,1998,75,Drama,5.5,142, Aleksandr Bashirov 
400, Babbitt ,1934,74,Drama,6.0,291, William Keighley 
401, Звероферма ,1954,72,"Animation, Drama",7.2,17164," Joy Batchelor, John Halas "
402, Pilgrim's Progress ,1978,72,Adventure,5.4,290, Ken Anderson 
403, Чeловек-невидимка ,1933,71,"Horror, Sci-Fi",7.6,34548, James Whale 
404, Франкенштейн ,1931,70,"Drama, Horror, Sci-Fi",7.8,71288, James Whale 
405, Остров потерянных душ ,1932,70,"Horror, Sci-Fi",7.4,9410, Erle C. Kenton 
406, Roadhouse Nights ,1930,68,"Crime, Drama, Musical",6.3,110, Hobart Henley 
407, Рассказ служанки ,2017,60,"Drama, Sci-Fi, Thriller",8.4,217804," Elisabeth Moss, Yvonne Strahovski, Joseph Fiennes, Ann Dowd"
408, Детективное агентство Дирка Джентли ,2016,60,"Action, Adventure, Comedy",8.2,49939," Samuel Barnett, Elijah Wood, Hannah Marks, Jade Eshete"
409, Приключения Шерлока Холмса ,1984,60,"Crime, Drama, Mystery",8.7,21947," Jeremy Brett, David Burke, Rosalie Williams, Eric Porter"
410, Люди Смайли ,1982,60,"Drama, Mystery",8.5,4164," Alec Guinness, Eileen Atkins, Bill Paterson, Vladek Sheybal"
411, Фанни Хилл ,2007,60,"Drama, Romance",6.5,1112," Rebecca Night, Alison Steadman, Emma Stansfield, Hugo Speer"
412," Thank You, Jeeves! ",1936,57,Comedy,6.2,273, Arthur Greville Collins 
413," Непримирившиеся, или Где правит насилие, помогает только насилие ",1965,55,"Drama, History",6.3,752, Jean-Marie Straub 
414, Путешествие на запад ,1986,45,"Action, Adventure",8.7,1383," Liu Xiao Ling Tong, Dehua Ma, Huaili Yan, Shaohua Xu"
415, Hong lou meng ,1987,45,Drama,8.6,575," Jie Deng, Fenqiang Ouyang, Xiaoxu Chen, Ting Li"
416, Eyeless in Gaza ,1971,45,Drama,7.3,14," Michael Gambon, Ian Richardson, Lynn Farleigh, Harry Brooks Jr."
417, Замок Отранто ,1977,17,"Animation, Short, Horror",6.8,524, Jan Svankmajer 
418, Nostromo ,1966,117,Drama,6.6,257," Brian Dennehy, Albert Finney, Colin Firth, Roberto Escobar"
419, Девять ударов за упокой ,1974,52,Mystery,8.1,335," Ian Carmichael, Glyn Houston, Elizabeth Proud, Patrick Jordan"
420, Смерть по объявлению ,1973,50,Mystery,8.0,311," Ian Carmichael, Mark Eden, Rachel Herbert, Paul Darrow"
421, Capitu ,2008,75,"Crime, Drama, Mystery",8.9,397," Michel Melamed, Maria Fernanda Cândido, Letícia Persiles, César Cardadeiro"
422, Money ,2010,90,Drama,5.7,92," Nick Frost, Emma Pierson, Adrian Lukis, Vincent Kartheiser"
423, Screen Two ,1985,60,Drama,7.9,146, Jack Clayton 
