,Name,Year,Min,Genre,Rate,Votes,Cast
66, Незнакомка из Уайлдфелл-Холла ,1996,159,Drama,7.3,2816," Toby Stephens, Tara Fitzgerald, Rupert Graves, Sarah Badel"
67, Регтайм ,1981,155,Drama,7.3,9704, Milos Forman 
68, Цветы лиловые полей ,1985,154,Drama,7.7,85646, Steven Spielberg 
69, Лорд Джим ,1965,154,"Adventure, Drama, Romance",6.7,3896, Richard Brooks 
70, Лолита ,1962,153,"Crime, Drama, Romance",7.5,100064, Stanley Kubrick 
71, Империя Солнца ,1987,153,"Drama, History, War",7.7,124195, Steven Spielberg 
72, Волшебная гора ,1982,153,Drama,6.4,459, Hans W. Geissendörfer 
73, На западном фронте без перемен ,1930,152,"Drama, War",8.1,60974, Lewis Milestone 
74, Путеводитель по Галактике для автостопщиков ,1981,152,"Adventure, Comedy, Sci-Fi",8.0,10981," Simon Jones, David Dixon, Peter Jones, Sandra Dickinson"
75, Chocky ,1984,151,"Drama, Sci-Fi",7.7,363," Carol Drinkwater, James Hazeldine, Andrew Ellams, Zoë Hart"
76, Будденброки ,2008,151,Drama,5.9,1515, Heinrich Breloer 
77, Контакт ,1997,150,"Drama, Mystery, Sci-Fi",7.5,271073, Robert Zemeckis 
78, Любовь в холодном климате ,2001,150,Drama,7.0,853," Elisabeth Dermot Walsh, Javier Alcina, Rosamund Pike, Megan Dodds"
79, Нана ,1926,150,"Drama, Romance",6.6,876, Jean Renoir 
80, 2001 год: Космическая одиссея ,1968,149,"Adventure, Sci-Fi",8.3,653720, Stanley Kubrick 
81, Парфюмер: История одного убийцы ,2006,147,"Crime, Drama, Fantasy",7.5,247371, Tom Tykwer 
82, Сияние ,1980,146,"Drama, Horror",8.4,989018, Stanley Kubrick 
83, Дети полуночи ,2012,146,Drama,6.2,3184, Deepa Mehta 
84, Мемуары гейши ,2005,145,"Drama, Romance",7.3,147701, Rob Marshall 
85, На краю лезвия ,1946,145,"Drama, Romance",7.3,6105, Edmund Goulding 
86, Братья Карамазовы ,1958,145,"Drama, Romance",6.7,2799, Richard Brooks 
87, Казино Рояль ,2006,144,"Action, Adventure, Thriller",8.0,646438, Martin Campbell 
88, Хоббит: Битва пяти воинств ,2014,144,"Adventure, Fantasy",7.4,515659, Peter Jackson 
